"id","name","gen","Primary.Type","Special.Defense","Speed","Health","Special.Attack","Attack","Defense"
152,"chikorita",2,"grass",65,45,45,49,49,65
153,"bayleef",2,"grass",80,60,60,63,62,80
154,"meganium",2,"grass",100,80,80,83,82,100
155,"cyndaquil",2,"fire",50,65,39,60,52,43
156,"quilava",2,"fire",65,80,58,80,64,58
157,"typhlosion",2,"fire",85,100,78,109,84,78
158,"totodile",2,"water",48,43,50,44,65,64
159,"croconaw",2,"water",63,58,65,59,80,80
160,"feraligatr",2,"water",83,78,85,79,105,100
161,"sentret",2,"normal",45,20,35,35,46,34
162,"furret",2,"normal",55,90,85,45,76,64
163,"hoothoot",2,"flying",56,50,60,36,30,30
163,"hoothoot",2,"normal",56,50,60,36,30,30
164,"noctowl",2,"flying",96,70,100,76,50,50
164,"noctowl",2,"normal",96,70,100,76,50,50
165,"ledyba",2,"flying",80,55,40,40,20,30
165,"ledyba",2,"bug",80,55,40,40,20,30
166,"ledian",2,"flying",110,85,55,55,35,50
166,"ledian",2,"bug",110,85,55,55,35,50
167,"spinarak",2,"poison",40,30,40,40,60,40
167,"spinarak",2,"bug",40,30,40,40,60,40
168,"ariados",2,"poison",60,40,70,60,90,70
168,"ariados",2,"bug",60,40,70,60,90,70
169,"crobat",2,"flying",80,130,85,70,90,80
169,"crobat",2,"poison",80,130,85,70,90,80
170,"chinchou",2,"electric",56,67,75,56,38,38
170,"chinchou",2,"water",56,67,75,56,38,38
171,"lanturn",2,"electric",76,67,125,76,58,58
171,"lanturn",2,"water",76,67,125,76,58,58
172,"pichu",2,"electric",35,60,20,35,40,15
173,"cleffa",2,"fairy",55,15,50,45,25,28
174,"igglybuff",2,"fairy",20,15,90,40,30,15
174,"igglybuff",2,"normal",20,15,90,40,30,15
175,"togepi",2,"fairy",65,20,35,40,20,65
176,"togetic",2,"flying",105,40,55,80,40,85
176,"togetic",2,"fairy",105,40,55,80,40,85
177,"natu",2,"flying",45,70,40,70,50,45
177,"natu",2,"psychic",45,70,40,70,50,45
178,"xatu",2,"flying",70,95,65,95,75,70
178,"xatu",2,"psychic",70,95,65,95,75,70
179,"mareep",2,"electric",45,35,55,65,40,40
180,"flaaffy",2,"electric",60,45,70,80,55,55
181,"ampharos",2,"electric",90,55,90,115,75,85
182,"bellossom",2,"grass",100,50,75,90,80,95
183,"marill",2,"fairy",50,40,70,20,20,50
183,"marill",2,"water",50,40,70,20,20,50
184,"azumarill",2,"fairy",80,50,100,60,50,80
184,"azumarill",2,"water",80,50,100,60,50,80
185,"sudowoodo",2,"rock",65,30,70,30,100,115
186,"politoed",2,"water",100,70,90,90,75,75
187,"hoppip",2,"flying",55,50,35,35,35,40
187,"hoppip",2,"grass",55,50,35,35,35,40
188,"skiploom",2,"flying",65,80,55,45,45,50
188,"skiploom",2,"grass",65,80,55,45,45,50
189,"jumpluff",2,"flying",95,110,75,55,55,70
189,"jumpluff",2,"grass",95,110,75,55,55,70
190,"aipom",2,"normal",55,85,55,40,70,55
191,"sunkern",2,"grass",30,30,30,30,30,30
192,"sunflora",2,"grass",85,30,75,105,75,55
193,"yanma",2,"flying",45,95,65,75,65,45
193,"yanma",2,"bug",45,95,65,75,65,45
194,"wooper",2,"ground",25,15,55,25,45,45
194,"wooper",2,"water",25,15,55,25,45,45
195,"quagsire",2,"ground",65,35,95,65,85,85
195,"quagsire",2,"water",65,35,95,65,85,85
