"id","name","gen","Primary.Type","Special.Defense","Speed","Health","Special.Attack","Attack","Defense"
494,"victini",5,"fire",100,100,100,100,100,100
494,"victini",5,"psychic",100,100,100,100,100,100
495,"snivy",5,"grass",55,63,45,45,45,55
496,"servine",5,"grass",75,83,60,60,60,75
497,"serperior",5,"grass",95,113,75,75,75,95
498,"tepig",5,"fire",45,45,65,45,63,45
499,"pignite",5,"fighting",55,55,90,70,93,55
499,"pignite",5,"fire",55,55,90,70,93,55
500,"emboar",5,"fighting",65,65,110,100,123,65
500,"emboar",5,"fire",65,65,110,100,123,65
501,"oshawott",5,"water",45,45,55,63,55,45
502,"dewott",5,"water",60,60,75,83,75,60
503,"samurott",5,"water",70,70,95,108,100,85
504,"patrat",5,"normal",39,42,45,35,55,39
505,"watchog",5,"normal",69,77,60,60,85,69
506,"lillipup",5,"normal",45,55,45,25,60,45
507,"herdier",5,"normal",65,60,65,35,80,65
508,"stoutland",5,"normal",90,80,85,45,110,90
509,"purrloin",5,"dark",37,66,41,50,50,37
510,"liepard",5,"dark",50,106,64,88,88,50
511,"pansage",5,"grass",48,64,50,53,53,48
512,"simisage",5,"grass",63,101,75,98,98,63
513,"pansear",5,"fire",48,64,50,53,53,48
514,"simisear",5,"fire",63,101,75,98,98,63
515,"panpour",5,"water",48,64,50,53,53,48
516,"simipour",5,"water",63,101,75,98,98,63
517,"munna",5,"psychic",55,24,76,67,25,45
518,"musharna",5,"psychic",95,29,116,107,55,85
519,"pidove",5,"flying",30,43,50,36,55,50
519,"pidove",5,"normal",30,43,50,36,55,50
520,"tranquill",5,"flying",42,65,62,50,77,62
520,"tranquill",5,"normal",42,65,62,50,77,62
521,"unfezant",5,"flying",55,93,80,65,115,80
521,"unfezant",5,"normal",55,93,80,65,115,80
522,"blitzle",5,"electric",32,76,45,50,60,32
523,"zebstrika",5,"electric",63,116,75,80,100,63
524,"roggenrola",5,"rock",25,15,55,25,75,85
525,"boldore",5,"rock",40,20,70,50,105,105
526,"gigalith",5,"rock",80,25,85,60,135,130
527,"woobat",5,"flying",43,72,55,55,45,43
527,"woobat",5,"psychic",43,72,55,55,45,43
528,"swoobat",5,"flying",55,114,67,77,57,55
528,"swoobat",5,"psychic",55,114,67,77,57,55
529,"drilbur",5,"ground",45,68,60,30,85,40
530,"excadrill",5,"steel",65,88,110,50,135,60
530,"excadrill",5,"ground",65,88,110,50,135,60
531,"audino",5,"normal",86,50,103,60,60,86
532,"timburr",5,"fighting",35,35,75,25,80,55
533,"gurdurr",5,"fighting",50,40,85,40,105,85
534,"conkeldurr",5,"fighting",65,45,105,55,140,95
535,"tympole",5,"water",40,64,50,50,50,40
536,"palpitoad",5,"ground",55,69,75,65,65,55
536,"palpitoad",5,"water",55,69,75,65,65,55
537,"seismitoad",5,"ground",75,74,105,85,95,75
537,"seismitoad",5,"water",75,74,105,85,95,75
538,"throh",5,"fighting",85,45,120,30,100,85
539,"sawk",5,"fighting",75,85,75,30,125,75
540,"sewaddle",5,"grass",60,42,45,40,53,70
540,"sewaddle",5,"bug",60,42,45,40,53,70
541,"swadloon",5,"grass",80,42,55,50,63,90
541,"swadloon",5,"bug",80,42,55,50,63,90
542,"leavanny",5,"grass",80,92,75,70,103,80
542,"leavanny",5,"bug",80,92,75,70,103,80
543,"venipede",5,"poison",39,57,30,30,45,59
543,"venipede",5,"bug",39,57,30,30,45,59
544,"whirlipede",5,"poison",79,47,40,40,55,99
544,"whirlipede",5,"bug",79,47,40,40,55,99
545,"scolipede",5,"poison",69,112,60,55,100,89
545,"scolipede",5,"bug",69,112,60,55,100,89
546,"cottonee",5,"fairy",50,66,40,37,27,60
546,"cottonee",5,"grass",50,66,40,37,27,60
547,"whimsicott",5,"fairy",75,116,60,77,67,85
547,"whimsicott",5,"grass",75,116,60,77,67,85
548,"petilil",5,"grass",50,30,45,70,35,50
549,"lilligant",5,"grass",75,90,70,110,60,75
550,"basculin-red-striped",5,"water",55,98,70,80,92,65
551,"sandile",5,"dark",35,65,50,35,72,35
551,"sandile",5,"ground",35,65,50,35,72,35
552,"krokorok",5,"dark",45,74,60,45,82,45
552,"krokorok",5,"ground",45,74,60,45,82,45
553,"krookodile",5,"dark",70,92,95,65,117,80
553,"krookodile",5,"ground",70,92,95,65,117,80
554,"darumaka",5,"fire",45,50,70,15,90,45
555,"darmanitan-standard",5,"fire",55,95,105,30,140,55
556,"maractus",5,"grass",67,60,75,106,86,67
557,"dwebble",5,"rock",35,55,50,35,65,85
557,"dwebble",5,"bug",35,55,50,35,65,85
558,"crustle",5,"rock",75,45,70,65,95,125
558,"crustle",5,"bug",75,45,70,65,95,125
559,"scraggy",5,"fighting",70,48,50,35,75,70
559,"scraggy",5,"dark",70,48,50,35,75,70
560,"scrafty",5,"fighting",115,58,65,45,90,115
560,"scrafty",5,"dark",115,58,65,45,90,115
561,"sigilyph",5,"flying",80,97,72,103,58,80
561,"sigilyph",5,"psychic",80,97,72,103,58,80
562,"yamask",5,"ghost",65,30,38,55,30,85
563,"cofagrigus",5,"ghost",105,30,58,95,50,145
564,"tirtouga",5,"rock",45,22,54,53,78,103
564,"tirtouga",5,"water",45,22,54,53,78,103
565,"carracosta",5,"rock",65,32,74,83,108,133
565,"carracosta",5,"water",65,32,74,83,108,133
566,"archen",5,"flying",45,70,55,74,112,45
566,"archen",5,"rock",45,70,55,74,112,45
567,"archeops",5,"flying",65,110,75,112,140,65
567,"archeops",5,"rock",65,110,75,112,140,65
568,"trubbish",5,"poison",62,65,50,40,50,62
569,"garbodor",5,"poison",82,75,80,60,95,82
570,"zorua",5,"dark",40,65,40,80,65,40
571,"zoroark",5,"dark",60,105,60,120,105,60
572,"minccino",5,"normal",40,75,55,40,50,40
573,"cinccino",5,"normal",60,115,75,65,95,60
574,"gothita",5,"psychic",65,45,45,55,30,50
575,"gothorita",5,"psychic",85,55,60,75,45,70
576,"gothitelle",5,"psychic",110,65,70,95,55,95
577,"solosis",5,"psychic",50,20,45,105,30,40
578,"duosion",5,"psychic",60,30,65,125,40,50
579,"reuniclus",5,"psychic",85,30,110,125,65,75
580,"ducklett",5,"flying",50,55,62,44,44,50
580,"ducklett",5,"water",50,55,62,44,44,50
581,"swanna",5,"flying",63,98,75,87,87,63
581,"swanna",5,"water",63,98,75,87,87,63
582,"vanillite",5,"ice",60,44,36,65,50,50
583,"vanillish",5,"ice",75,59,51,80,65,65
584,"vanilluxe",5,"ice",95,79,71,110,95,85
585,"deerling",5,"grass",50,75,60,40,60,50
585,"deerling",5,"normal",50,75,60,40,60,50
586,"sawsbuck",5,"grass",70,95,80,60,100,70
586,"sawsbuck",5,"normal",70,95,80,60,100,70
587,"emolga",5,"flying",60,103,55,75,75,60
587,"emolga",5,"electric",60,103,55,75,75,60
588,"karrablast",5,"bug",45,60,50,40,75,45
589,"escavalier",5,"steel",105,20,70,60,135,105
589,"escavalier",5,"bug",105,20,70,60,135,105
590,"foongus",5,"poison",55,15,69,55,55,45
590,"foongus",5,"grass",55,15,69,55,55,45
591,"amoonguss",5,"poison",80,30,114,85,85,70
591,"amoonguss",5,"grass",80,30,114,85,85,70
592,"frillish",5,"ghost",85,40,55,65,40,50
592,"frillish",5,"water",85,40,55,65,40,50
593,"jellicent",5,"ghost",105,60,100,85,60,70
593,"jellicent",5,"water",105,60,100,85,60,70
594,"alomomola",5,"water",45,65,165,40,75,80
595,"joltik",5,"electric",50,65,50,57,47,50
595,"joltik",5,"bug",50,65,50,57,47,50
596,"galvantula",5,"electric",60,108,70,97,77,60
596,"galvantula",5,"bug",60,108,70,97,77,60
597,"ferroseed",5,"steel",86,10,44,24,50,91
597,"ferroseed",5,"grass",86,10,44,24,50,91
598,"ferrothorn",5,"steel",116,20,74,54,94,131
598,"ferrothorn",5,"grass",116,20,74,54,94,131
599,"klink",5,"steel",60,30,40,45,55,70
600,"klang",5,"steel",85,50,60,70,80,95
601,"klinklang",5,"steel",85,90,60,70,100,115
602,"tynamo",5,"electric",40,60,35,45,55,40
603,"eelektrik",5,"electric",70,40,65,75,85,70
604,"eelektross",5,"electric",80,50,85,105,115,80
605,"elgyem",5,"psychic",55,30,55,85,55,55
606,"beheeyem",5,"psychic",95,40,75,125,75,75
607,"litwick",5,"fire",55,20,50,65,30,55
607,"litwick",5,"ghost",55,20,50,65,30,55
608,"lampent",5,"fire",60,55,60,95,40,60
608,"lampent",5,"ghost",60,55,60,95,40,60
609,"chandelure",5,"fire",90,80,60,145,55,90
609,"chandelure",5,"ghost",90,80,60,145,55,90
610,"axew",5,"dragon",40,57,46,30,87,60
611,"fraxure",5,"dragon",50,67,66,40,117,70
612,"haxorus",5,"dragon",70,97,76,60,147,90
613,"cubchoo",5,"ice",40,40,55,60,70,40
614,"beartic",5,"ice",80,50,95,70,110,80
615,"cryogonal",5,"ice",135,105,70,95,50,30
616,"shelmet",5,"bug",65,25,50,40,40,85
617,"accelgor",5,"bug",60,145,80,100,70,40
618,"stunfisk",5,"electric",99,32,109,81,66,84
