"id","name","gen","Primary.Type","Special.Defense","Speed","Health","Special.Attack","Attack","Defense"
252,"treecko",3,"grass",55,70,40,65,45,35
253,"grovyle",3,"grass",65,95,50,85,65,45
254,"sceptile",3,"grass",85,120,70,105,85,65
255,"torchic",3,"fire",50,45,45,70,60,40
256,"combusken",3,"fighting",60,55,60,85,85,60
256,"combusken",3,"fire",60,55,60,85,85,60
257,"blaziken",3,"fighting",70,80,80,110,120,70
257,"blaziken",3,"fire",70,80,80,110,120,70
258,"mudkip",3,"water",50,40,50,50,70,50
259,"marshtomp",3,"ground",70,50,70,60,85,70
259,"marshtomp",3,"water",70,50,70,60,85,70
260,"swampert",3,"ground",90,60,100,85,110,90
260,"swampert",3,"water",90,60,100,85,110,90
261,"poochyena",3,"dark",30,35,35,30,55,35
262,"mightyena",3,"dark",60,70,70,60,90,70
263,"zigzagoon",3,"normal",41,60,38,30,30,41
264,"linoone",3,"normal",61,100,78,50,70,61
265,"wurmple",3,"bug",30,20,45,20,45,35
266,"silcoon",3,"bug",25,15,50,25,35,55
267,"beautifly",3,"flying",50,65,60,100,70,50
267,"beautifly",3,"bug",50,65,60,100,70,50
268,"cascoon",3,"bug",25,15,50,25,35,55
269,"dustox",3,"poison",90,65,60,50,50,70
269,"dustox",3,"bug",90,65,60,50,50,70
270,"lotad",3,"grass",50,30,40,40,30,30
270,"lotad",3,"water",50,30,40,40,30,30
271,"lombre",3,"grass",70,50,60,60,50,50
271,"lombre",3,"water",70,50,60,60,50,50
272,"ludicolo",3,"grass",100,70,80,90,70,70
272,"ludicolo",3,"water",100,70,80,90,70,70
273,"seedot",3,"grass",30,30,40,30,40,50
274,"nuzleaf",3,"dark",40,60,70,60,70,40
274,"nuzleaf",3,"grass",40,60,70,60,70,40
275,"shiftry",3,"dark",60,80,90,90,100,60
275,"shiftry",3,"grass",60,80,90,90,100,60
276,"taillow",3,"flying",30,85,40,30,55,30
276,"taillow",3,"normal",30,85,40,30,55,30
277,"swellow",3,"flying",50,125,60,50,85,60
277,"swellow",3,"normal",50,125,60,50,85,60
278,"wingull",3,"flying",30,85,40,55,30,30
278,"wingull",3,"water",30,85,40,55,30,30
279,"pelipper",3,"flying",70,65,60,85,50,100
279,"pelipper",3,"water",70,65,60,85,50,100
280,"ralts",3,"fairy",35,40,28,45,25,25
280,"ralts",3,"psychic",35,40,28,45,25,25
281,"kirlia",3,"fairy",55,50,38,65,35,35
281,"kirlia",3,"psychic",55,50,38,65,35,35
282,"gardevoir",3,"fairy",115,80,68,125,65,65
282,"gardevoir",3,"psychic",115,80,68,125,65,65
283,"surskit",3,"water",52,65,40,50,30,32
283,"surskit",3,"bug",52,65,40,50,30,32
284,"masquerain",3,"flying",82,60,70,80,60,62
284,"masquerain",3,"bug",82,60,70,80,60,62
285,"shroomish",3,"grass",60,35,60,40,40,60
286,"breloom",3,"fighting",60,70,60,60,130,80
286,"breloom",3,"grass",60,70,60,60,130,80
287,"slakoth",3,"normal",35,30,60,35,60,60
288,"vigoroth",3,"normal",55,90,80,55,80,80
289,"slaking",3,"normal",65,100,150,95,160,100
290,"nincada",3,"ground",30,40,31,30,45,90
290,"nincada",3,"bug",30,40,31,30,45,90
291,"ninjask",3,"flying",50,160,61,50,90,45
291,"ninjask",3,"bug",50,160,61,50,90,45
292,"shedinja",3,"ghost",30,40,1,30,90,45
292,"shedinja",3,"bug",30,40,1,30,90,45
293,"whismur",3,"normal",23,28,64,51,51,23
294,"loudred",3,"normal",43,48,84,71,71,43
295,"exploud",3,"normal",73,68,104,91,91,63
296,"makuhita",3,"fighting",30,25,72,20,60,30
297,"hariyama",3,"fighting",60,50,144,40,120,60
298,"azurill",3,"fairy",40,20,50,20,20,40
298,"azurill",3,"normal",40,20,50,20,20,40
299,"nosepass",3,"rock",90,30,30,45,45,135
300,"skitty",3,"normal",35,50,50,35,45,45
301,"delcatty",3,"normal",55,70,70,55,65,65
302,"sableye",3,"ghost",65,50,50,65,75,75
302,"sableye",3,"dark",65,50,50,65,75,75
303,"mawile",3,"fairy",55,50,50,55,85,85
303,"mawile",3,"steel",55,50,50,55,85,85
304,"aron",3,"rock",40,30,50,40,70,100
304,"aron",3,"steel",40,30,50,40,70,100
305,"lairon",3,"rock",50,40,60,50,90,140
305,"lairon",3,"steel",50,40,60,50,90,140
306,"aggron",3,"rock",60,50,70,60,110,180
306,"aggron",3,"steel",60,50,70,60,110,180
307,"meditite",3,"psychic",55,60,30,40,40,55
307,"meditite",3,"fighting",55,60,30,40,40,55
